difficulty,common,person,trial,id,x,y,class
easy,A,1,1,1,0.00940519,-0.04527302,A
easy,A,1,1,2,-0.28404052,0.40787906,A
easy,A,1,1,3,-0.09914936,0.0086244,A
easy,A,1,1,4,-0.21607955,0.37049138,A
easy,A,1,1,5,-0.09539429,0.17670396,A
easy,A,1,1,6,-0.10554641,0.4317703,A
easy,A,1,1,7,-0.28950196,0.24977533,A
easy,A,1,1,8,0.20034043,0.36774636,A
easy,A,1,1,9,0.28765937,-0.03380002,A
easy,A,1,1,10,0.19003032,0.00114252,A
easy,A,1,1,11,-0.29554256,-0.379152,A
easy,A,1,1,12,-0.3953225,-0.00583946,A
easy,A,1,1,13,0.09597849,-0.42024267,A
easy,A,1,1,14,-0.20725857,-0.42497662,A
easy,A,1,1,15,-0.39150739,0.35146617,A
easy,A,1,1,16,-0.0199469,-0.4107184,B
easy,A,1,1,17,-0.21629151,0.00581916,B
easy,A,1,1,18,-0.18735702,0.20938898,B
easy,A,1,1,19,-0.11374561,-0.24876203,B
easy,A,1,1,20,0.30350421,-0.16064694,B
easy,A,1,2,1,-0.39052358,0.00170283,A
easy,A,1,2,2,0.20844526,0.23257508,A
easy,A,1,2,3,-0.20898503,0.01067392,A
easy,A,1,2,4,-0.09188587,0.23964117,A
easy,A,1,2,5,-0.09049233,-0.36425708,A
easy,A,1,2,6,-0.19632228,-0.40596355,A
easy,A,1,2,7,0.28701388,0.39661597,A
easy,A,1,2,8,-0.29851011,0.21058738,A
easy,A,1,2,9,0.20414945,-0.21114035,A
easy,A,1,2,10,0.28908317,0.1965972,A
easy,A,1,2,11,0.09660402,-0.42547794,A
easy,A,1,2,12,-0.41211739,-0.18058606,A
easy,A,1,2,13,-0.21466431,-0.18690314,A
easy,A,1,2,14,-0.2938035,-0.21401818,A
easy,A,1,2,15,3.2206e-4,0.20624257,A
easy,A,1,2,16,0.11486819,-0.17871658,B
easy,A,1,2,17,-0.30985858,-0.40935896,B
easy,A,1,2,18,-0.39941608,0.21297826,B
easy,A,1,2,19,4.2272e-4,-0.37460722,B
easy,A,1,2,20,-0.0014204,-5.9569e-4,B
easy,A,1,3,1,0.08147348,0.23249355,A
easy,A,1,3,2,0.20997993,-0.02020297,A
easy,A,1,3,3,0.28825665,0.44090072,A
easy,A,1,3,4,0.18004224,0.38608132,A
easy,A,1,3,5,-0.38423104,0.38896281,A
easy,A,1,3,6,0.31964017,-0.18067775,A
easy,A,1,3,7,0.19560378,-0.15246067,A
easy,A,1,3,8,-0.01367212,-0.20196127,A
easy,A,1,3,9,-0.39478314,-0.36561382,A
easy,A,1,3,10,0.28029549,-0.43672988,A
easy,A,1,3,11,-0.1989059,-0.15304086,A
easy,A,1,3,12,-0.30151369,0.18343325,A
easy,A,1,3,13,-0.00398792,0.18774129,A
easy,A,1,3,14,0.11625952,-0.39286549,A
easy,A,1,3,15,-0.01979817,-0.41230782,A
easy,A,1,3,16,-0.08293933,-0.01298974,B
easy,A,1,3,17,-0.19895964,0.04766398,B
easy,A,1,3,18,0.19107472,0.21130848,B
easy,A,1,3,19,-0.29344077,-0.19676172,B
easy,A,1,3,20,0.29966872,0.03698236,B
easy,A,1,4,1,-0.09864749,0.23665761,A
easy,A,1,4,2,0.2951772,-0.40979315,A
easy,A,1,4,3,-0.10000297,-0.36419689,A
easy,A,1,4,4,0.18081925,-0.39955146,A
easy,A,1,4,5,-0.29545847,0.41516418,A
easy,A,1,4,6,-0.19694105,-0.43774018,A
easy,A,1,4,7,-0.00328342,9.171e-4,A
easy,A,1,4,8,-0.29488627,-0.37622122,A
easy,A,1,4,9,-0.00443485,-0.2063747,A
easy,A,1,4,10,0.31018223,-0.03376695,A
easy,A,1,4,11,0.18689585,0.36479738,A
easy,A,1,4,12,0.01709716,-0.43946828,A
easy,A,1,4,13,-0.41561694,0.2497077,A
easy,A,1,4,14,-0.11644394,-0.21439991,A
easy,A,1,4,15,0.1153667,0.41297575,A
easy,A,1,4,16,-0.39976862,-0.23542234,B
easy,A,1,4,17,0.081993,-0.21760942,B
easy,A,1,4,18,0.11944024,0.04523654,B
easy,A,1,4,19,-0.00504998,0.38454202,B
easy,A,1,4,20,-0.00654521,0.23289104,B
easy,A,1,5,1,-0.21586829,0.44406677,A
easy,A,1,5,2,0.29957515,0.36669922,A
easy,A,1,5,3,-0.08665048,-0.19714297,A
easy,A,1,5,4,-0.19262291,0.22734531,A
easy,A,1,5,5,-0.10736539,-0.37218834,A
easy,A,1,5,6,0.09584455,0.41142023,A
easy,A,1,5,7,0.31075673,0.01680283,A
easy,A,1,5,8,-0.39631508,-0.39664725,A
easy,A,1,5,9,0.18319104,-0.42898471,A
easy,A,1,5,10,-0.30180349,-0.41268835,A
easy,A,1,5,11,0.08877196,0.02630679,A
easy,A,1,5,12,-0.29055187,0.23045671,A
easy,A,1,5,13,-0.18563789,0.03236864,A
easy,A,1,5,14,0.28703357,0.16503685,A
easy,A,1,5,15,0.11749783,-0.44193747,A
easy,A,1,5,16,-0.218389,-0.17147351,B
easy,A,1,5,17,0.2047368,0.17031721,B
easy,A,1,5,18,-0.21360887,-0.42231441,B
easy,A,1,5,19,-0.40286251,0.43429144,B
easy,A,1,5,20,0.29983822,-0.38370284,B
easy,AB,1,1,1,0.01696917,0.0310703,A
easy,AB,1,1,2,-0.3099464,0.43462693,A
easy,AB,1,1,3,-0.10192679,0.03933043,A
easy,AB,1,1,4,-0.18207833,0.38530923,A
easy,AB,1,1,5,-0.09841311,0.23971876,A
easy,AB,1,1,6,-0.10041565,0.4488309,A
easy,AB,1,1,7,-0.30865965,0.21471082,A
easy,AB,1,1,8,0.21610356,0.43562127,A
easy,AB,1,1,9,0.28346221,0.01843329,A
easy,AB,1,1,10,0.21373634,0.0069865,A
easy,AB,1,1,11,-0.31603038,-0.38941169,B
easy,AB,1,1,12,-0.38407516,-0.03837055,B
easy,AB,1,1,13,0.11145915,-0.43055175,B
easy,AB,1,1,14,-0.19110757,-0.40799001,B
easy,AB,1,1,15,-0.40642499,0.42337736,B
easy,AB,1,1,16,-0.00370496,-0.41047711,B
easy,AB,1,1,17,-0.18652577,-0.02510175,B
easy,AB,1,1,18,-0.1829368,0.19921315,B
easy,AB,1,1,19,-0.08195093,-0.15799067,B
easy,AB,1,1,20,0.29946551,-0.2150738,B
easy,AB,1,2,1,0.21115757,0.4306524,A
easy,AB,1,2,2,-0.0832463,-0.02559397,A
easy,AB,1,2,3,-0.2942897,-0.18936092,A
easy,AB,1,2,4,0.29590293,-0.17986288,A
easy,AB,1,2,5,-0.20509495,-0.18367042,A
easy,AB,1,2,6,-0.3913637,-0.0276852,A
easy,AB,1,2,7,-0.01394971,-0.20672768,A
easy,AB,1,2,8,0.29756481,-0.3654213,A
easy,AB,1,2,9,-0.39521511,-0.22865563,A
easy,AB,1,2,10,-0.09437186,0.43178782,A
easy,AB,1,2,11,-0.38531265,-0.41818007,B
easy,AB,1,2,12,-0.18223571,0.24190941999999999,B
easy,AB,1,2,13,-0.08418195,0.24808871,B
easy,AB,1,2,14,-0.19504613,-0.03727596,B
easy,AB,1,2,15,0.29947342,0.19988064,B
easy,AB,1,2,16,0.18595333,-0.00545667,B
easy,AB,1,2,17,-0.40049313,0.21652496,B
easy,AB,1,2,18,-0.11151699,-0.16937254,B
easy,AB,1,2,19,-0.41159344,0.42538363,B
easy,AB,1,2,20,0.31424616,-0.03105031,B
easy,AB,1,3,1,0.09490874,0.41851737,A
easy,AB,1,3,2,-0.31526756,0.35576757,A
easy,AB,1,3,3,-0.10912757,-0.03868528,A
easy,AB,1,3,4,-0.21422008,-0.0175866,A
easy,AB,1,3,5,0.19678411,-0.39022219,A
easy,AB,1,3,6,0.21270361,0.40518988,A
easy,AB,1,3,7,0.28042334,-0.18983799,A
easy,AB,1,3,8,0.20512657,0.16420416,A
easy,AB,1,3,9,0.28080751,-0.41247809,A
easy,AB,1,3,10,0.01539936,0.18851786,A
easy,AB,1,3,11,-0.38779152,0.38419582,B
easy,AB,1,3,12,-0.1191825,-0.22240326,B
easy,AB,1,3,13,-0.3012201,0.0255941,B
easy,AB,1,3,14,0.11237161,-0.23053533,B
easy,AB,1,3,15,-0.39026911,-0.24222367,B
easy,AB,1,3,16,-0.18735137,-0.41783439,B
easy,AB,1,3,17,0.28549005,0.44026112,B
easy,AB,1,3,18,-0.30642801,0.22990392,B
easy,AB,1,3,19,-0.2009348,0.41890114,B
easy,AB,1,3,20,-0.01718553,-0.40734364,B
easy,AB,1,4,1,-0.20174944,0.41638985,A
easy,AB,1,4,2,0.30010034,0.38665228,A
easy,AB,1,4,3,-0.10052169,-0.18486322,A
easy,AB,1,4,4,-0.21458919,0.23544992,A
easy,AB,1,4,5,-0.11078023,-0.37362192,A
easy,AB,1,4,6,0.11474151,0.40848972,A
easy,AB,1,4,7,0.31207661,0.01050893,A
easy,AB,1,4,8,-0.38799884,-0.38226521,A
easy,AB,1,4,9,0.20711332,-0.42031339,A
easy,AB,1,4,10,-0.28347448,-0.41462488,A
easy,AB,1,4,11,0.09309711,-0.02510609,B
easy,AB,1,4,12,-0.31557624,0.18651519,B
easy,AB,1,4,13,-0.18638615,-0.01959034,B
easy,AB,1,4,14,0.30898592,0.18265824,B
easy,AB,1,4,15,0.10437197,-0.43128379,B
easy,AB,1,4,16,-0.21030521,-0.24174598,B
easy,AB,1,4,17,0.19286251,0.20185184,B
easy,AB,1,4,18,-0.18226007,-0.37232934,B
easy,AB,1,4,19,-0.3883615,0.39797973,B
easy,AB,1,4,20,0.28803669,-0.3543721,B
easy,AB,1,5,1,-0.09807674,0.20922709,A
easy,AB,1,5,2,0.29608883,-0.39382386,A
easy,AB,1,5,3,-0.11910858,-0.42294925,A
easy,AB,1,5,4,0.19760123,-0.43279839,A
easy,AB,1,5,5,-0.29713798,0.35099697,A
easy,AB,1,5,6,-0.19849205,-0.35692152,A
easy,AB,1,5,7,0.0078317,0.03038292,A
easy,AB,1,5,8,-0.28003602,-0.37359809,A
easy,AB,1,5,9,-0.0102067,-0.24287478,A
easy,AB,1,5,10,0.30046747,0.03605473,A
easy,AB,1,5,11,0.18793316,0.37076846,B
easy,AB,1,5,12,-0.01027236,-0.44938271,B
easy,AB,1,5,13,-0.41635181,0.2177145,B
easy,AB,1,5,14,-0.09964242,-0.20756722,B
easy,AB,1,5,15,0.08513459,0.40402997,B
easy,AB,1,5,16,-0.41632424,-0.21174167,B
easy,AB,1,5,17,0.08761436,-0.17866972,B
easy,AB,1,5,18,0.09866123,0.01836637,B
easy,AB,1,5,19,-0.00435372,0.4206441,B
easy,AB,1,5,20,-0.0072329,0.18801514,B
easy,B,1,1,1,0.09730688,0.18645496,A
easy,B,1,1,2,0.18290201,0.00952191,A
easy,B,1,1,3,0.29064528,0.38193113,A
easy,B,1,1,4,0.20023754,0.3790316,A
easy,B,1,1,5,-0.38810077,0.40871401,A
easy,B,1,1,6,0.30925483,-0.2023447,B
easy,B,1,1,7,0.21162977,-0.18514847,B
easy,B,1,1,8,0.01294174,-0.20214096,B
easy,B,1,1,9,-0.38664921,-0.43374962,B
easy,B,1,1,10,0.28515528,-0.39209968,B
easy,B,1,1,11,-0.20261296,-0.19659041,B
easy,B,1,1,12,-0.30139804,0.20892898,B
easy,B,1,1,13,0.00638558,0.16935014,B
easy,B,1,1,14,0.09569342,-0.4097092,B
easy,B,1,1,15,0.01777125,-0.43283807,B
easy,B,1,1,16,-0.10379826,0.03407015,B
easy,B,1,1,17,-0.18437462,-0.03916241,B
easy,B,1,1,18,0.18019312,0.23081044,B
easy,B,1,1,19,-0.30706551,-0.20001765,B
easy,B,1,1,20,0.28724869,0.02833526,B
easy,B,1,2,1,-0.10700175,-0.4036664,A
easy,B,1,2,2,-0.18133014,-0.40912837,A
easy,B,1,2,3,0.0851153,-0.44361553,A
easy,B,1,2,4,-0.19021843,-0.03407637,A
easy,B,1,2,5,0.2943714,-0.36260741,A
easy,B,1,2,6,0.11020266,0.44449905,B
easy,B,1,2,7,-0.18168391,0.35406809,B
easy,B,1,2,8,-0.11221406,-0.15358313,B
easy,B,1,2,9,-0.28905152,0.15848918,B
easy,B,1,2,10,0.09421493,0.22982587,B
easy,B,1,2,11,-0.09378371,-0.01080623,B
easy,B,1,2,12,-0.38788466,-0.17528038,B
easy,B,1,2,13,0.1944871,0.42918928,B
easy,B,1,2,14,0.01456338,0.38981799,B
easy,B,1,2,15,0.01207603,-0.39634242,B
easy,B,1,2,16,0.08975694,-0.22346704,B
easy,B,1,2,17,0.2090195,0.17523765,B
easy,B,1,2,18,0.09465798,-0.03268126,B
easy,B,1,2,19,0.30701962,0.19043717,B
easy,B,1,2,20,-0.28790324,-0.19187423,B
easy,B,1,3,1,0.01440906,-0.174696,A
easy,B,1,3,2,-0.21553595,0.04542852,A
easy,B,1,3,3,-0.28288026,-0.19242424,A
easy,B,1,3,4,-0.20352266,0.39741797,A
easy,B,1,3,5,0.10488619,-0.04023425,A
easy,B,1,3,6,0.11658622,0.43295009,B
easy,B,1,3,7,0.08256538,-0.42654283,B
easy,B,1,3,8,0.30858064,0.42581982,B
easy,B,1,3,9,0.29114716,-0.41551024,B
easy,B,1,3,10,-0.29085687,-0.01294626,B
easy,B,1,3,11,0.18660683,0.22774264,B
easy,B,1,3,12,0.00662553,-0.40598005,B
easy,B,1,3,13,-0.29613161,-0.41943902,B
easy,B,1,3,14,-0.21455171,-0.44346685,B
easy,B,1,3,15,0.08832921,-0.15547779,B
easy,B,1,3,16,-0.01128403,0.354175,B
easy,B,1,3,17,0.29103897,-0.02295355,B
easy,B,1,3,18,0.18459378,-0.36185127,B
easy,B,1,3,19,0.28106854,-0.17414881,B
easy,B,1,3,20,0.11742279,0.22502315,B
easy,B,1,4,1,-0.09791721,-0.43136878,A
easy,B,1,4,2,-0.1899578,-0.16002438,A
easy,B,1,4,3,0.00501424,-0.01596261,A
easy,B,1,4,4,0.11797117,-0.029245,A
easy,B,1,4,5,0.00522644,-0.19920067,A
easy,B,1,4,6,-0.30104674,0.39869755,B
easy,B,1,4,7,-0.09847291,0.41236581,B
easy,B,1,4,8,-0.304211832,-1.74837347e-4,B
easy,B,1,4,9,-0.30343004,-0.18066793,B
easy,B,1,4,10,0.31296128,0.21715862,B
easy,B,1,4,11,-0.11690623,-0.19887548,B
easy,B,1,4,12,0.10026551,0.43008665,B
easy,B,1,4,13,0.21049922,0.15837461,B
easy,B,1,4,14,0.20767602,-0.2334692,B
easy,B,1,4,15,0.18939378,0.35691181,B
easy,B,1,4,16,-0.19590036,0.44368212,B
easy,B,1,4,17,-0.38031203,-0.40856133,B
easy,B,1,4,18,-0.31239451,-0.41559327,B
easy,B,1,4,19,0.31614334,0.03368838,B
easy,B,1,4,20,-0.31924056,0.22080447,B
easy,B,1,5,1,0.20169976,-0.03034766,A
easy,B,1,5,2,-0.00815956,-6.2013e-4,A
easy,B,1,5,3,-0.09642985,-0.0154623,A
easy,B,1,5,4,0.09354234,0.01794072,A
easy,B,1,5,5,-0.38318258,-0.42443054,A
easy,B,1,5,6,-0.20852593,0.3687773,B
easy,B,1,5,7,0.31035341,-0.20983671,B
easy,B,1,5,8,-0.11578129,-0.2208815,B
easy,B,1,5,9,0.10209492,-0.21758445,B
easy,B,1,5,10,0.20239044,0.2315782,B
easy,B,1,5,11,-0.38208661,0.00127922,B
easy,B,1,5,12,-0.29573813,0.22298373,B
easy,B,1,5,13,0.30080695,0.00278068,B
easy,B,1,5,14,0.31896281,-0.42970096,B
easy,B,1,5,15,0.20654752,-0.22549138,B
easy,B,1,5,16,0.31890369,0.37481862,B
easy,B,1,5,17,-0.00395771,-0.24757655,B
easy,B,1,5,18,-0.28178655,-0.38289404,B
easy,B,1,5,19,0.01359454,-0.41657758,B
easy,B,1,5,20,-0.31011669,0.43164628,B
hard,A,1,1,1,-0.10860288,0.23591513,A
hard,A,1,1,2,0.28973523,0.2475424,A
hard,A,1,1,3,-0.39733531,-0.37300438,A
hard,A,1,1,4,0.31619258,-0.20700104,A
hard,A,1,1,5,0.30851659,0.36167593,A
hard,A,1,1,6,-0.29267228,-0.22401111,A
hard,A,1,1,7,-0.10665474,0.40785293,A
hard,A,1,1,8,0.08693671,-0.44183828000000003,A
hard,A,1,1,9,-0.10792288,-0.41222095,A
hard,A,1,1,10,0.18287937,0.03757669,A
hard,A,1,1,11,0.21471043,-0.35515839,A
hard,A,1,1,12,-0.30827482,-0.36046603,A
hard,A,1,1,13,-0.19971395,0.03650762,A
hard,A,1,1,14,0.09203384,-0.20400432,A
hard,A,1,1,15,-0.31792098,-0.035556,A
hard,A,1,1,16,0.29653194,-0.01884518,B
hard,A,1,1,17,-0.20811571,-0.18024303,B
hard,A,1,1,18,-0.38686971,0.39888035,B
hard,A,1,1,19,0.10607225,0.00204314,B
hard,A,1,1,20,-0.40280604,-0.23135416,B
hard,A,1,2,1,0.01102868,0.04502187,A
hard,A,1,2,2,-0.30770184,0.41912071,A
hard,A,1,2,3,-0.10355334,-0.00279308,A
hard,A,1,2,4,-0.19596151,0.41230506,A
hard,A,1,2,5,-0.09129673,0.21927783,A
hard,A,1,2,6,-0.10773643,0.35323978,A
hard,A,1,2,7,-0.30367662,0.15985838,A
hard,A,1,2,8,0.20266177,0.40822842,A
hard,A,1,2,9,0.30803559,-0.03655377,A
hard,A,1,2,10,0.20757127,0.02616558,A
hard,A,1,2,11,-0.29004678,-0.40583566,A
hard,A,1,2,12,-0.40956219,-0.00987832,A
hard,A,1,2,13,0.10127109,-0.37089983,A
hard,A,1,2,14,-0.1810693,-0.40269323,A
hard,A,1,2,15,-0.39827955,0.44536759,A
hard,A,1,2,16,-0.01162106,-0.35880404,B
hard,A,1,2,17,-0.21084663,-0.03841857,B
hard,A,1,2,18,-0.20115787,0.20949417,B
hard,A,1,2,19,-0.10244146,-0.19394566,B
hard,A,1,2,20,0.2907312,-0.20418172,B
hard,A,1,3,1,-0.21498996,0.40829734,A
hard,A,1,3,2,-0.01217099,0.42685267,A
hard,A,1,3,3,0.19130631,-0.22965861,A
hard,A,1,3,4,0.31887918,-0.38336926,A
hard,A,1,3,5,-0.30016906,0.37529128,A
hard,A,1,3,6,-0.31863493,-0.42561663,A
hard,A,1,3,7,0.11583151,-0.24826936,A
hard,A,1,3,8,0.31417498,-0.02586244,A
hard,A,1,3,9,-0.08624837,-0.15596445,A
hard,A,1,3,10,-0.18948212,-0.04242731,A
hard,A,1,3,11,0.30148078,0.43332842,A
hard,A,1,3,12,0.01230183,-0.02452786,A
hard,A,1,3,13,0.007429,0.23820282,A
hard,A,1,3,14,-0.20510346,-0.20236589,A
hard,A,1,3,15,-0.0872081,-0.39410844,A
hard,A,1,3,16,0.11300098,0.40567911,B
hard,A,1,3,17,0.18891759,0.16122619,B
hard,A,1,3,18,-0.3937701,0.21968897,B
hard,A,1,3,19,-0.09422059,0.4058584,B
hard,A,1,3,20,-0.39720418,-0.35073163,B
hard,A,1,4,1,-0.09658103,0.19069294,A
hard,A,1,4,2,0.30428459,-0.36713368,A
hard,A,1,4,3,-0.11421984,-0.36585009,A
hard,A,1,4,4,0.18890451,-0.37069236,A
hard,A,1,4,5,-0.31349032,0.42253635,A
hard,A,1,4,6,-0.18512648,-0.36103169,A
hard,A,1,4,7,-0.0092726,0.04494011,A
hard,A,1,4,8,-0.29111178,-0.44054743,A
hard,A,1,4,9,0.00192821,-0.15862701,A
hard,A,1,4,10,0.28332091,-0.03463077,A
hard,A,1,4,11,0.18259309,0.35067478,A
hard,A,1,4,12,0.01653569,-0.39656752,A
hard,A,1,4,13,-0.40157474,0.19897151,A
hard,A,1,4,14,-0.11145791,-0.23504867,A
hard,A,1,4,15,0.11203721,0.36998316,A
hard,A,1,4,16,-0.39747872,-0.21801763,B
hard,A,1,4,17,0.11912259,-0.22340187,B
hard,A,1,4,18,0.09626329,-0.04663722,B
hard,A,1,4,19,0.01109311,0.39344526,B
hard,A,1,4,20,-8.77754442e-5,0.217510097,B
hard,A,1,7,1,-0.29549825,-0.4056388,A
hard,A,1,7,2,-0.41601087,0.41420758,A
hard,A,1,7,3,-0.19561153,0.43020178,A
hard,A,1,7,4,-0.18994431,-0.00665849,A
hard,A,1,7,5,0.1928948,0.02855953,A
hard,A,1,7,6,0.19356355,-0.36526567,A
hard,A,1,7,7,0.30617507,-0.17339052,A
hard,A,1,7,8,-0.29840384,0.20590525,A
hard,A,1,7,9,0.18550702,0.17706117,A
hard,A,1,7,10,0.10032231,-0.44504436000000003,A
hard,A,1,7,11,0.31606447,-0.40551147,A
hard,A,1,7,12,0.20877075,0.41854241,A
hard,A,1,7,13,-0.21266695,-0.44424787,A
hard,A,1,7,14,-0.11595916,0.38666445,A
hard,A,1,7,15,0.211745,-0.17422947,A
hard,A,1,7,16,-0.00199533,-0.17692856,B
hard,A,1,7,17,-0.09601195,0.17911204,B
hard,A,1,7,18,0.10914856,0.43421323,B
hard,A,1,7,19,-0.09907193,4.9533e-4,B
hard,A,1,7,20,-0.39019046,5.6605e-4,B
